CellType,Gene
CD4+TCF1+T,IL7R
CD4+TCF1+T,RPS12
CD8+GZMB+T,NKG7
CD8+GZMB+T,CCL5
CD8+GZMB+T,CST7
CD8+GZMB+T,GNLY
CD8+GZMB+T,CTSW
CD8+GZMB+T,GZMH
CD8+GZMB+T,KLRD1
CD8+GZMB+T,GZMB
CD8+GZMB+T,HCST
CD8+GZMB+T,PRF1
CD8+GZMB+T,S100A4
CD8+GZMB+T,GZMA
CD8+GZMB+T,HLA-B
CD8+GZMB+T,SH3BGRL3
CD8+GZMB+T,IFITM2
CD8+GZMB+T,IL32
CD8+GZMB+T,HOPX
CD8+GZMB+T,B2M
CD8+GZMB+T,CCL4
CD8+TCF1+T,CCL5
CD8+TCF1+T,GZMK
CD8+TCF1+T,CST7
CD8+TCF1+T,GZMA
CD8+TCF1+T,CD8A
CD8+TCF1+T,CD3E
CD8+TCF1+T,NKG7
CD8+TCF1+T,IL32
Treg,IL32
Treg,FOXP3
Treg,BATF
Treg,CARD16
Treg,TIGIT
Treg,LTB
Treg,CTLA4
Treg,TNFRSF4
Treg,HLA-A
Treg,S100A4
Treg,TNFRSF18
Treg,SPOCK2
Treg,ARID5B
Treg,B2M
Treg,ICOS
Treg,SOD1
CD4+PD1+T,NR3C1
CD4+PD1+T,CXCL13
CD4+PD1+T,ITM2A
CD4+PD1+T,LAT
CD4+PD1+T,TOX2
CD4+PD1+T,PDCD1
CD4+PD1+T,SPOCK2
CD4+PD1+T,FYB1
CD4+PD1+T,ICOS
CD56+NK,NKG7
CD56+NK,TYROBP
CD56+NK,GNLY
CD56+NK,IFITM2
CD56+NK,KLRD1
CD56+NK,CST7
CD56+NK,CTSW
CD56+NK,FCER1G
CD56+NK,PRF1
CD56+NK,GZMB
CD56+NK,CD7
CD56+NK,KLRF1
CD56+NK,XCL2
CD56+NK,HOPX
CD56+NK,XCL1
CD56+NK,CD247
CD56+NK,IFITM1
CD56+NK,KLRB1
CD56+NK,SRGN
CD56+NK,CCL5
CD56+NK,CMC1
CD56+NK,MATK
CD56+NK,GZMA
CD56+NK,HCST
CD56+NK,KLRC1
CD56+NK,LITAF
