Cell.Interaction,Odds.Ratio,P-Value,BH-Adjusted.P-Value,Time.Point
CD4.PD1.T_Treg,1.86793013259398,0.00253184688133634,0.080667267754471,Baseline
CD4.PD1.T_M2,1.40868676353389,0.00612550246284779,0.080667267754471,Baseline
CD20.B_CD4.TCF1.T,1.41820981008115,0.00653579447204813,0.080667267754471,Baseline
CD4.PD1.T_cDC,1.34628422548258,0.00708912517065637,0.080667267754471,Baseline
CD20.B_cDC,1.26563862121112,0.00733338797767918,0.080667267754471,Baseline
CD8.GZMB.T_cDC,1.33014890326789,0.0118955956780338,0.0871816335856267,Baseline
CD8.GZMB.T_M2,1.33681610627335,0.0155349936471051,0.0871816335856267,Baseline
CD8.GZMB.T_Treg,1.53960514905498,0.0160065157988734,0.0871816335856267,Baseline
CD20.B_M2,1.22001126968521,0.0167219689899675,0.0871816335856267,Baseline
CD20.B_Treg,1.29841619336672,0.0169635212612362,0.0871816335856267,Baseline
CD20.B_CD8.TCF1.T,1.37721645940405,0.0174363267171253,0.0871816335856267,Baseline
CD79a.Plasma_cDC,1.21908149631375,0.0302293981096856,0.138551408002726,Baseline
CD79a.Plasma_M2,1.23115574778361,0.0342280457588505,0.144810962825906,Baseline
CD4.PD1.T_CD4.TCF1.T,1.27604801035917,0.0454932861175901,0.17872362403339,Baseline
CD8.GZMB.T_CD4.TCF1.T,1.26434866074028,0.0699124829753006,0.256345770909435,Baseline
CD79a.Plasma_Treg,1.21452968179309,0.0845345458770363,0.290587501452312,Baseline
CD4.PD1.T_CD8.TCF1.T,1.24246339513584,0.0904821015054233,0.29273621075284,Baseline
CD20.B_CD8.PD1.Tex,1.17212035791369,0.102592274159636,0.313476393265553,Baseline
CD56.NK_cDC,1.16846257544311,0.108298937110145,0.313496923213578,Baseline
CD8.TCF1.T_cDC,1.16252874602678,0.147242365334877,0.370024034716207,Baseline
CD79a.Plasma_CD4.TCF1.T,1.14532816817348,0.151316064754485,0.370024034716207,Baseline
CD20.B_CD56.NK,1.12899018336726,0.154509209314444,0.370024034716207,Baseline
CD8.PD1.Tex_cDC,1.12552506832665,0.1600846818369,0.370024034716207,Baseline
CD8.PD1.Tex_M2,1.1536475067247,0.164489923427213,0.370024034716207,Baseline
CD8.GZMB.T_CD8.TCF1.T,1.19317566838619,0.168192743052822,0.370024034716207,Baseline
Treg_cDC,1.16883634066024,0.208900341448553,0.428774812701288,Baseline
CD4.PD1.T_CD8.PD1.Tex,1.15623073562128,0.210489453507905,0.428774812701288,Baseline
CD56.NK_M2,1.10418035186176,0.242714707821672,0.476761033221141,Baseline
CD4.TCF1.T_cDC,1.12737274622863,0.257942722213469,0.487099463023001,Baseline
CD79a.Plasma_CD8.TCF1.T,1.11042229138727,0.265690616194364,0.487099463023001,Baseline
CD8.TCF1.T_M2,1.09709972861088,0.312004831151353,0.533660146853348,Baseline
CD4.PD1.T_CD56.NK,1.09552601460395,0.322384721394536,0.533660146853348,Baseline
CD8.GZMB.T_CD8.PD1.Tex,1.12291344089861,0.327953153655815,0.533660146853348,Baseline
CD20.B_CD8.GZMB.T,1.11097055709498,0.329898999872978,0.533660146853348,Baseline
Treg_M2,1.11759151018562,0.374580840130036,0.588627034490057,Baseline
CD8.GZMB.T_CD56.NK,1.08435684165081,0.418238214326473,0.62643174828662,Baseline
CD20.B_CD79a.Plasma,1.08112851977388,0.426285323512602,0.62643174828662,Baseline
CD79a.Plasma_CD8.PD1.Tex,1.06665389361118,0.439482869094517,0.62643174828662,Baseline
CD8.PD1.Tex_Treg,1.09170913147904,0.444197057875967,0.62643174828662,Baseline
CD79a.Plasma_CD56.NK,1.05954057080721,0.468522862124765,0.638554783283939,Baseline
CD56.NK_Treg,1.07294595226334,0.487647395871154,0.638554783283939,Baseline
CD4.TCF1.T_M2,1.06286226774868,0.498117430471335,0.638554783283939,Baseline
CD20.B_CD4.PD1.T,1.07450981597164,0.499233739658352,0.638554783283939,Baseline
CD8.PD1.Tex_CD4.TCF1.T,1.05696891912066,0.555004034896917,0.687827852540622,Baseline
CD56.NK_CD4.TCF1.T,1.05173723453392,0.568072334187075,0.687827852540622,Baseline
CD8.TCF1.T_Treg,1.08150498609266,0.575274203943066,0.687827852540622,Baseline
CD8.TCF1.T_CD4.TCF1.T,1.06580736594514,0.631297390267056,0.738752265206129,Baseline
CD4.PD1.T_CD8.GZMB.T,1.07126314493686,0.663896098821344,0.760714279899457,Baseline
M2_cDC,1.03365874055973,0.739933982665993,0.830538143808768,Baseline
CD8.PD1.Tex_CD8.TCF1.T,1.03108707054933,0.773672549486318,0.836034816454366,Baseline
CD56.NK_CD8.TCF1.T,1.02885654258042,0.775232284348594,0.836034816454366,Baseline
CD4.PD1.T_CD79a.Plasma,1.0210022436329,0.847519674086238,0.896415039898905,Baseline
CD79a.Plasma_CD8.GZMB.T,1.00930343554524,0.924359122880371,0.95924059921548,Baseline
CD4.TCF1.T_Treg,1.00660346012306,0.959055894458837,0.976816188800667,Baseline
CD56.NK_CD8.PD1.Tex,1.00117398999855,0.988918423724204,0.988918423724204,Baseline
CD8.GZMB.T_Treg,2.42499735129069,0.00018994079156156,0.0104467435358858,On-treatment
